expocode,start_date,end_date,map,legs,region,alias,ship,chief_scientist,carbon_PI,hydrography_PI,oxygen_PI,nutrients_PI,cfc_PI,organics_PI,isotopes_PI,other_pi,measurements,cruise_references,data_files,metadata_report,QC_details
06AQ19840719,1984-07-19,1984-08-07,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/06AQ19840719.jpg,06AQ19840719,Arctic,"ARCHY, ARKTIS II/3",Polarstern,Gotthilf Hempel,,SIO,SIO,SIO,W.Smethie,,,,"CTDTMP, CTDSAL, CTDOXY, THETA, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, REVPRS, REVTMP",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/06AQ19840719.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113894/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113894.html,https://glodapv2.geomar.de/adjustments/show/06AQ19840719
06AQ19870704,1987-07-04,1987-09-02,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/06AQ19870704.jpg,06AQ19870704,Arctic,ARK IV_3; NAO,Polarstern,J. Thiede,Leif Anderson,,,,P.Jones,,"R. Key, P.Schlosser",,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CCL4, TCARBN, TRITUM, TRITER, DELO18",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113916/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113916.html,https://glodapv2.geomar.de/adjustments/show/06AQ19870704
06AQ19930806,1993-08-06,1993-10-05,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/06AQ19930806.jpg,06AQ19930806,Arctic,06ARKIX_4,Polarstern,D.K. Fütterer,L. Anderson,AWI,AWI,AWI,W. Smethie,,"P. Schlosser, Kelly Falkner",W. Smethie - Kr-85,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, CFC-11, CFC-12, CFC113, TCARBN, DELO18, BARIUM, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/06AQ19930806.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113593/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113593.html,https://glodapv2.geomar.de/adjustments/show/06AQ19930806
06AQ19950707,1995-07-07,1995-09-20,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/06AQ19950707.jpg,06AQ19950707,Arctic,ARK-XI_1,Polarstern,Eike Rachor/J.Meincke,L. Anderson,B.Rudels,E.Rachor,G.Kattner,W.Smethie,,R.Bayer,M.van der Loeff,"CTDTMP, CTDSAL, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, AMMONI, CFC-11, CFC-12, CFC113, ALKALI, PH_TOT, PH_NBS, PH_TMP, RA-226, RA-226E, RA-228, RA-228E, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/06AQ19950707.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116408/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116408.html,https://glodapv2.geomar.de/adjustments/show/06AQ19950707
06AQ19960712,1996-07-12,1996-09-06,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/06AQ19960712.jpg,06AQ19960712,Arctic,"06ARKXII, AQN12",Polarstern,E. Augstein,L. Anderson,SIO,,,SIO,,,,"CTDTMP, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, CFC-11, CFC-12, CCL4, TCARBN, ALKALI, PH_SWS, PH_TEMP, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113594/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113594.html,https://glodapv2.geomar.de/adjustments/show/06AQ19960712
06AQ20070728,2007-07-28,2007-10-10,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/ARKXXII_2.jpg,06AQ20070728,Arctic,ARKXXII/2,Polarstern,Ursula Schauer,"Steven van Heuven, S.Ober",,,,,,,,"CTDPRS, CTDTMP, CTDSAL, CTDOXY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, TCARBN, ALKALI, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0109899/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0109899.html,https://glodapv2.geomar.de/adjustments/show/06AQ20070728
06MT19920701,"1992-07-01,1992-07-26","1992-07-23,1992-08-31",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/06MT19920701.jpg,06MT19920701,Arctic,06MT021/5-6,Meteor,"G. Graf, O. Pfannkuche",K. Pegler,,,,,,,,"CTDTMP, SALNTY, TCARBN, ALKALI, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113985/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113985.html,https://glodapv2.geomar.de/adjustments/show/06MT19920701
189119870330,1987-03-30,1987-06-04,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,189119870330,Arctic,"AIRCRAFT87, IOS_Arctic_Database",Aircraft,R.W. MacDonald,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/189119870330
18AW19860910,1986-09-10,1986-09-16,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18AW19860910,Arctic,"IOS_Arctic_Database, AW86",Arctic IVIK,R.W. MacDonald,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18AW19860910
18DD19870731,1987-07-31,1987-09-07,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18DD19870731,Arctic,"IOS_Arctic_Database, tl8707",J.P. Tully,R.W. MacDonald,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18DD19870731
18DL20030913,2003-09-13,2003-10-14,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18DL20030913,Arctic,"CASES03.1, IOS_Arctic_Database",Amundsen,,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18DL20030913
18DL20031015,2003-10-15,2003-11-25,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18DL20031015,Arctic,"CASES03.2, IOS_Arctic_Database",Amundsen,"D.Barber, L.Miller","C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18DL20031015
18DL20031126,2003-11-25,2004-01-06,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18DL20031126,Arctic,"CASES03.3, IOS_Arctic_Database",Amundsen,C.Nozais,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18DL20031126
18DL20040107,2004-01-07,2004-02-17,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18DL20040107,Arctic,"CASES03.4, IOS_Arctic_Database",Amundsen,J. Deming,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18DL20040107
18DL20040218,2004-02-18,2004-03-31,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18DL20040218,Arctic,"CASES03.5, IOS_Arctic_Database",Amundsen,,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18DL20040218
18DL20040401,2004-04-01,2004-05-13,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18DL20040401,Arctic,"CASES03.6, IOS_Arctic_Database",Amundsen,,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18DL20040401
18DL20040513,2004-05-13,2004-06-24,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18DL20040513,Arctic,"CASES03.7, IOS_Arctic_Database",Amundsen,,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18DL20040513
18DL20040625,2004-05-25,2004-08-05,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18DL20040625,Arctic,"CASES03.8, IOS_Arctic_Database",Amundsen,,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18DL20040625
18DL20040806,2004-08-06,2004-08-31,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18DL20040806,Arctic,"CASES03.9, IOS_Arctic_Database",Amundsen,A.Rochon,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18DL20040806
18HS19900906,1990-09-06,1990-09-19,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18HS19900906,Arctic,"HL90, IOS_Arctic_Database",Henry Larsen,R.W. MacDonald,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18HS19900906
18HS19920920,1992-09-20,1992-09-25,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18HS19920920,Arctic,"HL92, IOS_Arctic_Database",Henry Larsen,R.W. MacDonald,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18HS19920920
18HS19930824,1993-08-24,1993-09-25,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18HS19930824,Arctic,"HL93, IOS_Arctic_Database",Henry Larsen,R.W. MacDonald,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18HS19930824
18HU19820228,1982-02-28,1982-04-04,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/18HU19820228.jpg,18HU19820228,Arctic,"18HU82001, 18HU8203",Hudson,"R.A.Clarke, Reid, J.Swift",P. Jones,J.Swift,,SIO,"R. Weiss, D. Wallace",,,,"CTDTMP, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, CFC-11, CFC-12, TCARBN, ALKALI, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/18HU19820228.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113889/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113889.html,https://glodapv2.geomar.de/adjustments/show/18HU19820228
18LU20000705,2000-07-05,2000-08-05,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18LU20000705,Arctic,"LU00.20, IOS_Arctic_Database",Sir Wilfrid Laurier,B. van Hardenberg,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18LU20000705
18LU20000902,2000-09-02,2000-09-18,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18LU20000902,Arctic,"LU00.22, IOS_Arctic_Database",Sir Wilfrid Laurier,F. McLaughlin,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18LU20000902
18LU20080702,2008-07-02,2008-07-29,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18LU20080702,Arctic,"LU08.02, IOS_Arctic_Database",Sir Wilfrid Laurier,S.Vagle,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18LU20080702
18LU20080923,2008-09-23,2008-10-14,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18LU20080923,Arctic,"LU08.04, IOS_Arctic_Database",Sir Wilfrid Laurier,H.Melling,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18LU20080923
18LU20090710,2009-07-10,2009-07-22,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18LU20090710,Arctic,"LU09, IOS_Arctic_Database",Sir Wilfrid Laurier,S.Vagle,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18LU20090710
18RD19980404,1998-04-04,1998-07-21,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/18RD19980404.jpg,18RD19980404,Arctic,"NOW98, Northwater Polynya",P. Radisson,"L. Fortier, H. Melling","K. Cochran, D. Wallace",H. Melling,"J.-E Tremblay, K.Cochran","J.-E Tremblay, K.Cochran",,"K. Cochran, M. Gosselin",,,"CTDTMP, CTDSAL, OXYGEN, SILCAT, NITRAT, PHSPHT, TCARBN, ALKALI, POC, PON, DOC, CHLORA, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/18RD19980404.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113915/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113915.html,https://glodapv2.geomar.de/adjustments/show/18RD19980404
18RD19990827,1999-08-27,1999-10-10,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/18RD19990827.jpg,18RD19990827,Arctic,"NOW99, Northwater Polynya",P. Radisson,"L. Fortier, H. Melling","L. Miller, P. Yager",H. Melling,"J.-E Tremblay, K.Cochran","J.-E Tremblay, K.Cochran",,"K. Cochran, M. Gosselin",,,"CTDTMP, CTDSAL, TCARBN, ALKALI, POC, PON, TOC, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/18RD19990827.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113986/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113986.html,https://glodapv2.geomar.de/adjustments/show/18RD19990827
18RD20020922,2002-09-22,2002-10-14,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18RD20020922,Arctic,"CASES02, IOS_Arctic_Database",P. Radisson,,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18RD20020922
18SN19940724,1994-07-24,1994-09-01,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/18SN19940724.jpg,18SN19940724,Arctic,AOS94,Louis S. St-Laurent,"K. Aagaard, E. Carmack, J. Swift","P.Jones, K. Azetsu-Scott",SIO,SIO;,SIO,P.Jones,,,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, TCARBN, ALKALI, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/18SN19940724.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113983/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113983.html,https://glodapv2.geomar.de/adjustments/show/18SN19940724
18SN19950803,1995-08-03,1995-09-04,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18SN19950803,Arctic,"SN95, IOS_Arctic_Database",Louis S. St-Laurent,E.Carmack,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18SN19950803
18SN19960910,1996-09-10,1996-09-24,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18SN19960910,Arctic,"SN96, IOS_Arctic_Database",Louis S. St-Laurent,F. McLaughlin,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18SN19960910
18SN19970801,1997-08-01,1997-08-12,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18SN19970801,Arctic,"SN97, IOS_Arctic_Database",Louis S. St-Laurent,K.Falkner,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18SN19970801
18SN19970803,1997-08-03,1997-08-18,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/18SN19970803.jpg,18SN19970803,Arctic,"18SNA097, JOIS97 Leg 1",Louis S. St-Laurent,"F. McLaughlin, K. Falkner","P.Jones, K. Azetsu-Scott",,,,,,,,"CTDTMP, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, TCARBN, ALKALI, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/18SN19970803.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0114432/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0114432.html,https://glodapv2.geomar.de/adjustments/show/18SN19970803
