expocode,start_date,end_date,map,legs,region,alias,ship,chief_scientist,carbon_PI,hydrography_PI,oxygen_PI,nutrients_PI,cfc_PI,organics_PI,isotopes_PI,other_pi,measurements,cruise_references,data_files,metadata_report,QC_details
58JH19940723,1994-07-23,1994-08-16,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JH19940723.jpg,58JH19940723,Arctic,"58JH9408, WOCE AR18d",J. Hjort,J. Blindheim,J. Olafsson,E. Buch,Eva Falck,F. Rey,"E. Fogelqvist, T.Tanhua",,"R.Nydal, J.Gislefoss, R. Bayer",,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, TCARBN, PCO2, PCO2TMP, TRITUM, TRITER, HELIUM, DELHE3, DELHER, DELC13, DELC14, C14ERR, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/58JH19940723.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113560/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113560.html,https://glodapv2.geomar.de/adjustments/show/58JH19940723
58JH19941028,1994-10-28,1994-11-26,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JH19941028.jpg,58JH19941028,Arctic,58JH9410,J. Hjort,"J. Blindheim, F. Rey",,J. Blindheim,F. Rey,F. Rey,J. Bullister,,P.Schlosser,,"CTDTMP, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, MCHFRM, TRITUM, HELIUM, DELHE3, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/58JH19941028.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0115681/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0115681.html,https://glodapv2.geomar.de/adjustments/show/58JH19941028
58JH19950427,1995-04-27,1995-05-23,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JH19950427.jpg,58JH19950427,Arctic,58JH9505,J. Hjort,F. Rey,"T. Johannessen, I. Skjelvan",F. Rey,F. Rey,F. Rey,,,,,"CTDTMP, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, TCARBN, ALKALI, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113561/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113561.html,https://glodapv2.geomar.de/adjustments/show/58JH19950427
58JH19951108,1995-11-08,1995-11-26,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JH19951108.jpg,58JH19951108,Arctic,58JH9511,J. Hjort,"J. Blindheim, F. Rey","T. Johannessen, I. Skjelvan",J. Blindheim,F.Rey,F.Rey,J.Bullister,,,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, MCHFRM, TCARBN, ALKALI, TRITUM, HELIUM, DELHE3, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/58JH19951108.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113562/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113562.html,https://glodapv2.geomar.de/adjustments/show/58JH19951108
58JH19960720,1996-07-20,1996-08-05,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JH19960720.jpg,58JH19960720,Arctic,58JH9607,J. Hjort,F. Rey,,J. Blindheim,F.Rey,F.Rey,,Y. Borsheim,,,"CTDTMP, CTDSAL, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, DOC, CHLORA, PHAEO, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/58JH19960720.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0115688/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0115688.html,https://glodapv2.geomar.de/adjustments/show/58JH19960720
58JH19961030,1996-10-30,1996-11-10,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JH19961030.jpg,58JH19961030,Arctic,58JH9611,J. Hjort,"J. Blindheim, F. Rey",,J. Blindheim,F. Rey,F. Rey,J. Bullister,,P.Schlosser,,"CTDTMP, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, MCHFRM, TRITUM, HELIUM, DELHE3, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/58JH19961030.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0115680/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0115680.html,https://glodapv2.geomar.de/adjustments/show/58JH19961030
58JH19970414,1997-04-14,1997-05-26,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JH19970414.jpg,58JH19970414,Arctic,58JH9704,J. Hjort,"J. Blindheim, F. Rey",L. Anderson,J. Blindheim,R. Rey,R. Rey,J. Bullister,,P. Schlosser,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, MCHFRM, TCARBN, ALKALI, PH_SWS, PH_TEMP, TRITUM, HELIUM, DELHE3, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/58JH19970414.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113563/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113563.html,https://glodapv2.geomar.de/adjustments/show/58JH19970414
58JH19980801,1998-08-01,1998-08-23,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JH19980801.jpg,58JH19980801,Arctic,58JH9808,J. Hjort,"J. Blindheim, F. Rey",L. Anderson,J. Blindheim,F. Rey,F. Rey,J. Bullister,,P. Schlosser,,"CTDTMP, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, TCARBN, ALKALI, PH_SWS, PH_TEMP, TRITUM, HELIUM, DELHE3, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/58JH19980801.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113758/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113758.html,https://glodapv2.geomar.de/adjustments/show/58JH19980801
58JH19990615,1999-06-15,1999-07-09,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JH19990615.jpg,58JH19990615,Arctic,58JH9906,J. Hjort,"J. Blindheim, F. Rey",,J. Blindheim,F. Rey,F. Rey;,J. Bullister,,P. Schlosser,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, TRITUM, TRITER, HELIUM, HELIER, DELHE3, DELHER, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/58JH19990615.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0115678/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0115678.html,https://glodapv2.geomar.de/adjustments/show/58JH19990615
58JH20000527,2000-05-27,2000-06-20,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JH20000527.jpg,58JH20000527,Arctic,"58JH0006, GSNS2000",J. Hjort,"J. Blindheim, F. Rey",,J. Blindheim,F. Rey,F. Rey,J. Bullister,,P. Schlosser,,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CFC113, CCL4, CHLORA, PHAEO, TRITUM, TRITER, HELIUM, HELIER, DELHE3, DELHER, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/58JH20000527.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0115683/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0115683.html,https://glodapv2.geomar.de/adjustments/show/58JH20000527
58JM20030710,2003-07-10,2003-07-18,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JM20030710.jpg,58JM20030710,Arctic,"CABANERA I, 58JM0703",Jan Mayen,P. Wassmann,"R. Bellerby, C. Kivimae",A. Sundfjord,,R. Bellerby,,,,,"CTDTMP, SALNTY, SILCAT, NITRAT, NITRIT, PHSPHT, AMMONI, TCARBN, ALKALI, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113565/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113565.html,https://glodapv2.geomar.de/adjustments/show/58JM20030710
58JM20040724,2004-07-24,2004-07-31,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JM20040724.jpg,58JM20040724,Arctic,"CABANERA II, 58JM0704",Jan Mayen,P. Wassmann,"R. Bellerby, C. Kivimae",A. Sundfjord,,R. Bellerby,,,,,"CTDTMP, SALNTY, SILCAT, NITRAT, NITRIT, PHSPHT, AMMONI, TCARBN, ALKALI, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113566/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113566.html,https://glodapv2.geomar.de/adjustments/show/58JM20040724
58JM20050520,2005-05-20,2005-06-02,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58JM20050520.jpg,58JM20050520,Arctic,"CABANERA III, 58JM0505",Jan Mayen,P. Wassmann,"R. Bellerby, C. Kivimae",A. Sundfjord,,R. Bellerby,,,,,"CTDTMP, SALNTY, SILCAT, NITRAT, NITRIT, PHSPHT, AMMONI, TCARBN, ALKALI, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113564/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113564.html,https://glodapv2.geomar.de/adjustments/show/58JM20050520
58LA19860719,1986-07-19,1986-07-26,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/58LA19860719.jpg,58LA19860719,Arctic,58LA0786,Lance,B. Rudels,L.Anderson,,,,,,,,"CTDTMP, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, TCARBN, ALKALI, PH_SWS, PH_TEMP, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113910/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113910.html,https://glodapv2.geomar.de/adjustments/show/58LA19860719
